Year,Tournament ID,Tournament,Stage ID,Stage,Match Type,Match ID,Match Name,Team A,Team B,Team A Score,Team B Score,Winner,Loser,Match Result,Match Key
2021,449,Valorant Champions 2021,945,Group Stage,Opening (D),51282,Vision Strikers vs FULL SENSE,Vision Strikers,FULL SENSE,2,0,Vision Strikers,FULL SENSE,Vision Strikers won,2021 | Valorant Champions 2021 | Group Stage | Opening (D) | Vision Strikers vs FULL SENSE
2021,449,Valorant Champions 2021,945,Group Stage,Opening (C),51278,Team Vikings vs Crazy Raccoon,Team Vikings,Crazy Raccoon,2,0,Team Vikings,Crazy Raccoon,Team Vikings won,2021 | Valorant Champions 2021 | Group Stage | Opening (C) | Team Vikings vs Crazy Raccoon
2021,449,Valorant Champions 2021,945,Group Stage,Opening (D),51283,FNATIC vs Cloud9,FNATIC,Cloud9,2,1,FNATIC,Cloud9,FNATIC won,2021 | Valorant Champions 2021 | Group Stage | Opening (D) | FNATIC vs Cloud9
2021,449,Valorant Champions 2021,945,Group Stage,Opening (C),51277,Gambit Esports vs Team Secret,Gambit Esports,Team Secret,2,1,Gambit Esports,Team Secret,Gambit Esports won,2021 | Valorant Champions 2021 | Group Stage | Opening (C) | Gambit Esports vs Team Secret
2021,449,Valorant Champions 2021,945,Group Stage,Opening (B),51273,Sentinels vs FURIA,Sentinels,FURIA,2,1,Sentinels,FURIA,Sentinels won,2021 | Valorant Champions 2021 | Group Stage | Opening (B) | Sentinels vs FURIA
2021,449,Valorant Champions 2021,945,Group Stage,Opening (B),51272,KRÜ Esports vs Team Liquid,KRÜ Esports,Team Liquid,0,2,Team Liquid,KRÜ Esports,Team Liquid won,2021 | Valorant Champions 2021 | Group Stage | Opening (B) | KRÜ Esports vs Team Liquid
2021,449,Valorant Champions 2021,945,Group Stage,Winner's (D),51284,Vision Strikers vs FNATIC,Vision Strikers,FNATIC,1,2,FNATIC,Vision Strikers,FNATIC won,2021 | Valorant Champions 2021 | Group Stage | Winner's (D) | Vision Strikers vs FNATIC
2021,449,Valorant Champions 2021,945,Group Stage,Opening (A),51267,Envy vs X10 Esports,Envy,X10 Esports,2,0,Envy,X10 Esports,Envy won,2021 | Valorant Champions 2021 | Group Stage | Opening (A) | Envy vs X10 Esports
2021,449,Valorant Champions 2021,945,Group Stage,Winner's (C),51279,Gambit Esports vs Team Vikings,Gambit Esports,Team Vikings,2,1,Gambit Esports,Team Vikings,Gambit Esports won,2021 | Valorant Champions 2021 | Group Stage | Winner's (C) | Gambit Esports vs Team Vikings
2021,449,Valorant Champions 2021,945,Group Stage,Winner's (B),51274,Team Liquid vs Sentinels,Team Liquid,Sentinels,2,1,Team Liquid,Sentinels,Team Liquid won,2021 | Valorant Champions 2021 | Group Stage | Winner's (B) | Team Liquid vs Sentinels
2021,449,Valorant Champions 2021,945,Group Stage,Opening (A),51266,Acend vs Keyd Stars,Acend,Keyd Stars,2,1,Acend,Keyd Stars,Acend won,2021 | Valorant Champions 2021 | Group Stage | Opening (A) | Acend vs Keyd Stars
2021,449,Valorant Champions 2021,945,Group Stage,Elimination (C),51280,Team Secret vs Crazy Raccoon,Team Secret,Crazy Raccoon,2,0,Team Secret,Crazy Raccoon,Team Secret won,2021 | Valorant Champions 2021 | Group Stage | Elimination (C) | Team Secret vs Crazy Raccoon
2021,449,Valorant Champions 2021,945,Group Stage,Elimination (B),51275,KRÜ Esports vs FURIA,KRÜ Esports,FURIA,2,1,KRÜ Esports,FURIA,KRÜ Esports won,2021 | Valorant Champions 2021 | Group Stage | Elimination (B) | KRÜ Esports vs FURIA
2021,449,Valorant Champions 2021,945,Group Stage,Elimination (D),51285,FULL SENSE vs Cloud9,FULL SENSE,Cloud9,0,2,Cloud9,FULL SENSE,Cloud9 won,2021 | Valorant Champions 2021 | Group Stage | Elimination (D) | FULL SENSE vs Cloud9
2021,449,Valorant Champions 2021,945,Group Stage,Winner's (A),51268,Acend vs Envy,Acend,Envy,2,0,Acend,Envy,Acend won,2021 | Valorant Champions 2021 | Group Stage | Winner's (A) | Acend vs Envy
2021,449,Valorant Champions 2021,945,Group Stage,Elimination (A),51269,Keyd Stars vs X10 Esports,Keyd Stars,X10 Esports,0,2,X10 Esports,Keyd Stars,X10 Esports won,2021 | Valorant Champions 2021 | Group Stage | Elimination (A) | Keyd Stars vs X10 Esports
2021,449,Valorant Champions 2021,945,Group Stage,Decider (B),51276,Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,1,2,KRÜ Esports,Sentinels,KRÜ Esports won,2021 | Valorant Champions 2021 | Group Stage | Decider (B) | Sentinels vs KRÜ Esports
2021,449,Valorant Champions 2021,945,Group Stage,Decider (D),51286,Vision Strikers vs Cloud9,Vision Strikers,Cloud9,1,2,Cloud9,Vision Strikers,Cloud9 won,2021 | Valorant Champions 2021 | Group Stage | Decider (D) | Vision Strikers vs Cloud9
2021,449,Valorant Champions 2021,945,Group Stage,Decider (C),51281,Team Vikings vs Team Secret,Team Vikings,Team Secret,0,2,Team Secret,Team Vikings,Team Secret won,2021 | Valorant Champions 2021 | Group Stage | Decider (C) | Team Vikings vs Team Secret
2021,449,Valorant Champions 2021,945,Group Stage,Decider (A),51270,Envy vs X10 Esports,Envy,X10 Esports,1,2,X10 Esports,Envy,X10 Esports won,2021 | Valorant Champions 2021 | Group Stage | Decider (A) | Envy vs X10 Esports
2021,449,Valorant Champions 2021,1486,Playoffs,Quarterfinals,51290,Acend vs Team Secret,Acend,Team Secret,2,0,Acend,Team Secret,Acend won,2021 | Valorant Champions 2021 | Playoffs | Quarterfinals | Acend vs Team Secret
2021,449,Valorant Champions 2021,1486,Playoffs,Quarterfinals,51291,Team Liquid vs Cloud9,Team Liquid,Cloud9,2,0,Team Liquid,Cloud9,Team Liquid won,2021 | Valorant Champions 2021 | Playoffs | Quarterfinals | Team Liquid vs Cloud9
2021,449,Valorant Champions 2021,1486,Playoffs,Quarterfinals,51292,Gambit Esports vs X10 Esports,Gambit Esports,X10 Esports,2,1,Gambit Esports,X10 Esports,Gambit Esports won,2021 | Valorant Champions 2021 | Playoffs | Quarterfinals | Gambit Esports vs X10 Esports
2021,449,Valorant Champions 2021,1486,Playoffs,Quarterfinals,51293,FNATIC vs KRÜ Esports,FNATIC,KRÜ Esports,1,2,KRÜ Esports,FNATIC,KRÜ Esports won,2021 | Valorant Champions 2021 | Playoffs | Quarterfinals | FNATIC vs KRÜ Esports
2021,449,Valorant Champions 2021,1486,Playoffs,Semifinals,51294,Acend vs Team Liquid,Acend,Team Liquid,2,0,Acend,Team Liquid,Acend won,2021 | Valorant Champions 2021 | Playoffs | Semifinals | Acend vs Team Liquid
2021,449,Valorant Champions 2021,1486,Playoffs,Semifinals,51295,Gambit Esports vs KRÜ Esports,Gambit Esports,KRÜ Esports,2,1,Gambit Esports,KRÜ Esports,Gambit Esports won,2021 | Valorant Champions 2021 | Playoffs | Semifinals | Gambit Esports vs KRÜ Esports
2021,449,Valorant Champions 2021,1486,Playoffs,Grand Final,51296,Acend vs Gambit Esports,Acend,Gambit Esports,3,2,Acend,Gambit Esports,Acend won,2021 | Valorant Champions 2021 | Playoffs | Grand Final | Acend vs Gambit Esports
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Quarterfinals,43764,100 Thieves vs Gen.G,100 Thieves,Gen.G,2,1,100 Thieves,Gen.G,100 Thieves won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Quarterfinals | 100 Thieves vs Gen.G
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Quarterfinals,43765,XSET vs Luminosity,XSET,Luminosity,2,1,XSET,Luminosity,XSET won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Quarterfinals | XSET vs Luminosity
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Semifinals,43768,100 Thieves vs XSET,100 Thieves,XSET,2,1,100 Thieves,XSET,100 Thieves won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Semifinals | 100 Thieves vs XSET
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Quarterfinals,43766,FaZe Clan vs Rise,FaZe Clan,Rise,1,2,Rise,FaZe Clan,Rise won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Quarterfinals | FaZe Clan vs Rise
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Quarterfinals,43767,Version1 vs Cloud9,Version1,Cloud9,0,2,Cloud9,Version1,Cloud9 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Quarterfinals | Version1 vs Cloud9
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Semifinals,43769,Rise vs Cloud9,Rise,Cloud9,2,1,Rise,Cloud9,Rise won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Semifinals | Rise vs Cloud9
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Round 1,43772,Gen.G vs Luminosity,Gen.G,Luminosity,2,0,Gen.G,Luminosity,Gen.G won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Round 1 | Gen.G vs Luminosity
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Round 1,43773,FaZe Clan vs Version1,FaZe Clan,Version1,0,2,Version1,FaZe Clan,Version1 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Round 1 | FaZe Clan vs Version1
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Round 2,43774,Cloud9 vs Gen.G,Cloud9,Gen.G,2,1,Cloud9,Gen.G,Cloud9 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Round 2 | Cloud9 vs Gen.G
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Round 2,43775,XSET vs Version1,XSET,Version1,2,0,XSET,Version1,XSET won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Round 2 | XSET vs Version1
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Upper Final,43770,100 Thieves vs Rise,100 Thieves,Rise,1,2,Rise,100 Thieves,Rise won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Upper Final | 100 Thieves vs Rise
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Round 3,43776,Cloud9 vs XSET,Cloud9,XSET,2,0,Cloud9,XSET,Cloud9 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Round 3 | Cloud9 vs XSET
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Lower Final,43777,100 Thieves vs Cloud9,100 Thieves,Cloud9,1,2,Cloud9,100 Thieves,Cloud9 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Lower Final | 100 Thieves vs Cloud9
2021,558,Champions Tour North America: Last Chance Qualifier,1094,Main Event,Grand Final,43771,Rise vs Cloud9,Rise,Cloud9,0,3,Cloud9,Rise,Cloud9 won,2021 | Champions Tour North America: Last Chance Qualifier | Main Event | Grand Final | Rise vs Cloud9
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Opening (A),42173,Sharks Esports vs E-Xolos LAZER,Sharks Esports,E-Xolos LAZER,2,0,Sharks Esports,E-Xolos LAZER,Sharks Esports won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Opening (A) | Sharks Esports vs E-Xolos LAZER
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Opening (A),42174,Australs vs FURIA,Australs,FURIA,2,1,Australs,FURIA,Australs won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Opening (A) | Australs vs FURIA
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Winner's (A),42175,Sharks Esports vs Australs,Sharks Esports,Australs,1,2,Australs,Sharks Esports,Australs won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Winner's (A) | Sharks Esports vs Australs
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Opening (B),42178,Six Karma vs Gamelanders Blue,Six Karma,Gamelanders Blue,1,2,Gamelanders Blue,Six Karma,Gamelanders Blue won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Opening (B) | Six Karma vs Gamelanders Blue
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Opening (B),42179,Liberty vs INFINITY,Liberty,INFINITY,2,0,Liberty,INFINITY,Liberty won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Opening (B) | Liberty vs INFINITY
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Winner's (B),42180,Gamelanders Blue vs Liberty,Gamelanders Blue,Liberty,2,0,Gamelanders Blue,Liberty,Gamelanders Blue won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Winner's (B) | Gamelanders Blue vs Liberty
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Elimination (A),42176,E-Xolos LAZER vs FURIA,E-Xolos LAZER,FURIA,0,2,FURIA,E-Xolos LAZER,FURIA won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Elimination (A) | E-Xolos LAZER vs FURIA
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Elimination (B),42181,Six Karma vs INFINITY,Six Karma,INFINITY,2,1,Six Karma,INFINITY,Six Karma won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Elimination (B) | Six Karma vs INFINITY
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Decider (A),42177,Sharks Esports vs FURIA,Sharks Esports,FURIA,0,2,FURIA,Sharks Esports,FURIA won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Decider (A) | Sharks Esports vs FURIA
2021,561,Champions Tour South America: Last Chance Qualifier,1097,Group Stage,Decider (B),42182,Liberty vs Six Karma,Liberty,Six Karma,2,1,Liberty,Six Karma,Liberty won,2021 | Champions Tour South America: Last Chance Qualifier | Group Stage | Decider (B) | Liberty vs Six Karma
2021,561,Champions Tour South America: Last Chance Qualifier,1376,Playoffs,Semifinals,42185,Australs vs Liberty,Australs,Liberty,2,0,Australs,Liberty,Australs won,2021 | Champions Tour South America: Last Chance Qualifier | Playoffs | Semifinals | Australs vs Liberty
2021,561,Champions Tour South America: Last Chance Qualifier,1376,Playoffs,Semifinals,42186,Gamelanders Blue vs FURIA,Gamelanders Blue,FURIA,1,2,FURIA,Gamelanders Blue,FURIA won,2021 | Champions Tour South America: Last Chance Qualifier | Playoffs | Semifinals | Gamelanders Blue vs FURIA
2021,561,Champions Tour South America: Last Chance Qualifier,1376,Playoffs,Grand Final,42187,Australs vs FURIA,Australs,FURIA,0,3,FURIA,Australs,FURIA won,2021 | Champions Tour South America: Last Chance Qualifier | Playoffs | Grand Final | Australs vs FURIA
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Quarterfinals,42198,G2 Esports vs Anubis Gaming,G2 Esports,Anubis Gaming,2,0,G2 Esports,Anubis Gaming,G2 Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Quarterfinals | G2 Esports vs Anubis Gaming
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Quarterfinals,42199,FUT Esports vs Oxygen Esports,FUT Esports,Oxygen Esports,2,0,FUT Esports,Oxygen Esports,FUT Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Quarterfinals | FUT Esports vs Oxygen Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Quarterfinals,42200,Papara SuperMassive vs Guild Esports,Papara SuperMassive,Guild Esports,1,2,Guild Esports,Papara SuperMassive,Guild Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Quarterfinals | Papara SuperMassive vs Guild Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Quarterfinals,42201,Team Liquid vs One Breath Gaming,Team Liquid,One Breath Gaming,2,0,Team Liquid,One Breath Gaming,Team Liquid won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Quarterfinals | Team Liquid vs One Breath Gaming
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Round 1,42206,Anubis Gaming vs Oxygen Esports,Anubis Gaming,Oxygen Esports,0,2,Oxygen Esports,Anubis Gaming,Oxygen Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Round 1 | Anubis Gaming vs Oxygen Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Round 1,42207,Papara SuperMassive vs One Breath Gaming,Papara SuperMassive,One Breath Gaming,2,1,Papara SuperMassive,One Breath Gaming,Papara SuperMassive won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Round 1 | Papara SuperMassive vs One Breath Gaming
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Semifinals,42202,G2 Esports vs FUT Esports,G2 Esports,FUT Esports,2,1,G2 Esports,FUT Esports,G2 Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Semifinals | G2 Esports vs FUT Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Semifinals,42203,Guild Esports vs Team Liquid,Guild Esports,Team Liquid,0,2,Team Liquid,Guild Esports,Team Liquid won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Semifinals | Guild Esports vs Team Liquid
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Round 2,42208,Guild Esports vs Oxygen Esports,Guild Esports,Oxygen Esports,2,0,Guild Esports,Oxygen Esports,Guild Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Round 2 | Guild Esports vs Oxygen Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Round 2,42209,FUT Esports vs Papara SuperMassive,FUT Esports,Papara SuperMassive,2,1,FUT Esports,Papara SuperMassive,FUT Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Round 2 | FUT Esports vs Papara SuperMassive
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Upper Final,42204,G2 Esports vs Team Liquid,G2 Esports,Team Liquid,1,2,Team Liquid,G2 Esports,Team Liquid won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Upper Final | G2 Esports vs Team Liquid
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Round 3,42210,Guild Esports vs FUT Esports,Guild Esports,FUT Esports,2,0,Guild Esports,FUT Esports,Guild Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Round 3 | Guild Esports vs FUT Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Lower Final,42211,G2 Esports vs Guild Esports,G2 Esports,Guild Esports,0,2,Guild Esports,G2 Esports,Guild Esports won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Lower Final | G2 Esports vs Guild Esports
2021,559,Champions Tour EMEA: Last Chance Qualifier,1095,Main Event,Grand Final,42205,Team Liquid vs Guild Esports,Team Liquid,Guild Esports,3,1,Team Liquid,Guild Esports,Team Liquid won,2021 | Champions Tour EMEA: Last Chance Qualifier | Main Event | Grand Final | Team Liquid vs Guild Esports
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Round 1,39489,BOOM Esports vs FENNEL,BOOM Esports,FENNEL,2,0,BOOM Esports,FENNEL,BOOM Esports won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Round 1 | BOOM Esports vs FENNEL
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Round 1,39490,Global Esports vs DAMWON Gaming,Global Esports,DAMWON Gaming,2,1,Global Esports,DAMWON Gaming,Global Esports won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Round 1 | Global Esports vs DAMWON Gaming
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Quarterfinals,39491,FULL SENSE vs REJECT,FULL SENSE,REJECT,2,1,FULL SENSE,REJECT,FULL SENSE won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Quarterfinals | FULL SENSE vs REJECT
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Quarterfinals,39493,F4Q vs NORTHEPTION,F4Q,NORTHEPTION,0,2,NORTHEPTION,F4Q,NORTHEPTION won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Quarterfinals | F4Q vs NORTHEPTION
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Quarterfinals,39494,NUTURN vs BOOM Esports,NUTURN,BOOM Esports,2,0,NUTURN,BOOM Esports,NUTURN won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Quarterfinals | NUTURN vs BOOM Esports
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Quarterfinals,39492,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,0,Paper Rex,Global Esports,Paper Rex won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Quarterfinals | Paper Rex vs Global Esports
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 1,43112,REJECT vs DAMWON Gaming,REJECT,DAMWON Gaming,0,2,DAMWON Gaming,REJECT,DAMWON Gaming won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 1 | REJECT vs DAMWON Gaming
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 1,43113,F4Q vs FENNEL,F4Q,FENNEL,2,1,F4Q,FENNEL,F4Q won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 1 | F4Q vs FENNEL
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Semifinals,43109,NUTURN vs FULL SENSE,NUTURN,FULL SENSE,1,2,FULL SENSE,NUTURN,FULL SENSE won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Semifinals | NUTURN vs FULL SENSE
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Semifinals,43110,Paper Rex vs NORTHEPTION,Paper Rex,NORTHEPTION,0,2,NORTHEPTION,Paper Rex,NORTHEPTION won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Semifinals | Paper Rex vs NORTHEPTION
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 2,43114,BOOM Esports vs DAMWON Gaming,BOOM Esports,DAMWON Gaming,0,2,DAMWON Gaming,BOOM Esports,DAMWON Gaming won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 2 | BOOM Esports vs DAMWON Gaming
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 2,43115,Global Esports vs F4Q,Global Esports,F4Q,1,2,F4Q,Global Esports,F4Q won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 2 | Global Esports vs F4Q
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Upper Bracket Final,43111,FULL SENSE vs NORTHEPTION,FULL SENSE,NORTHEPTION,1,2,NORTHEPTION,FULL SENSE,NORTHEPTION won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Upper Bracket Final | FULL SENSE vs NORTHEPTION
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 3,43116,Paper Rex vs DAMWON Gaming,Paper Rex,DAMWON Gaming,1,2,DAMWON Gaming,Paper Rex,DAMWON Gaming won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 3 | Paper Rex vs DAMWON Gaming
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 3,43117,NUTURN vs F4Q,NUTURN,F4Q,2,1,NUTURN,F4Q,NUTURN won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 3 | NUTURN vs F4Q
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Round 4,43118,DAMWON Gaming vs NUTURN,DAMWON Gaming,NUTURN,2,0,DAMWON Gaming,NUTURN,DAMWON Gaming won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Round 4 | DAMWON Gaming vs NUTURN
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Lower Bracket Final,43119,FULL SENSE vs DAMWON Gaming,FULL SENSE,DAMWON Gaming,2,0,FULL SENSE,DAMWON Gaming,FULL SENSE won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Lower Bracket Final | FULL SENSE vs DAMWON Gaming
2021,560,Champions Tour Asia-Pacific: Last Chance Qualifier,1096,Main Event,Grand Final,43120,NORTHEPTION vs FULL SENSE,NORTHEPTION,FULL SENSE,2,3,FULL SENSE,NORTHEPTION,FULL SENSE won,2021 | Champions Tour Asia-Pacific: Last Chance Qualifier | Main Event | Grand Final | NORTHEPTION vs FULL SENSE
2021,450,Strike Arabia Championship: Finals,897,Main Event,Upper Bracket Quarterfinals,40469,Fox Gaming vs Geekay Esports,Fox Gaming,Geekay Esports,2,1,Fox Gaming,Geekay Esports,Fox Gaming won,2021 | Strike Arabia Championship: Finals | Main Event | Upper Bracket Quarterfinals | Fox Gaming vs Geekay Esports
2021,450,Strike Arabia Championship: Finals,897,Main Event,Upper Bracket Quarterfinals,40472,Team Majesty vs YaLLa Esports,Team Majesty,YaLLa Esports,0,2,YaLLa Esports,Team Majesty,YaLLa Esports won,2021 | Strike Arabia Championship: Finals | Main Event | Upper Bracket Quarterfinals | Team Majesty vs YaLLa Esports
2021,450,Strike Arabia Championship: Finals,897,Main Event,Upper Bracket Quarterfinals,40470,NASR Esports vs Piercer Esports,NASR Esports,Piercer Esports,0,2,Piercer Esports,NASR Esports,Piercer Esports won,2021 | Strike Arabia Championship: Finals | Main Event | Upper Bracket Quarterfinals | NASR Esports vs Piercer Esports
2021,450,Strike Arabia Championship: Finals,897,Main Event,Upper Bracket Quarterfinals,40471,Team RA'AD vs Anubis Gaming,Team RA'AD,Anubis Gaming,2,1,Team RA'AD,Anubis Gaming,Team RA'AD won,2021 | Strike Arabia Championship: Finals | Main Event | Upper Bracket Quarterfinals | Team RA'AD vs Anubis Gaming
2021,450,Strike Arabia Championship: Finals,897,Main Event,Lower Bracket Round 1,40476,Geekay Esports vs NASR Esports,Geekay Esports,NASR Esports,1,2,NASR Esports,Geekay Esports,NASR Esports won,2021 | Strike Arabia Championship: Finals | Main Event | Lower Bracket Round 1 | Geekay Esports vs NASR Esports
2021,450,Strike Arabia Championship: Finals,897,Main Event,Lower Bracket Round 1,40477,Anubis Gaming vs Team Majesty,Anubis Gaming,Team Majesty,2,0,Anubis Gaming,Team Majesty,Anubis Gaming won,2021 | Strike Arabia Championship: Finals | Main Event | Lower Bracket Round 1 | Anubis Gaming vs Team Majesty
